,Cluster Label,Country,Capital City,GDP/Capita 2018
0,3,Monaco,Monaco,185741
1,3,Luxembourg,Luxembourg,116640
2,3,Switzerland,Bern,82797
3,3,Norway,Oslo,81697
4,3,Ireland,Dublin,78806
5,3,Iceland,Reykjavík,73191
6,3,United States,"Washington, D.C.",62795
7,3,Denmark,Copenhagen,61350
8,3,Sweden,Stockholm,54608
9,3,Netherlands,Amsterdam,53024
10,3,Austria,Vienna,51462
11,3,Finland,Helsinki,50152
12,3,Germany,Berlin,47603
13,3,Belgium,Brussels,47519
14,3,Canada,Ottawa,46233
15,3,United Kingdom,London,42944
16,3,Andorra,Andorra la Vella,42030
17,3,France,Paris,41464
18,3,Italy,Rome,34483
